Id,ArtifactName,CorrectMaterial,CorrectSignature,CorrectType,CorrectColor,CorrectRarity,CorrectOrigin,CorrectCondition,SpecialRule
a_001,기본 철검,IRON,ARTISAN,WEAPON,SILVER,COMMON,DWARF_MINE,ACTIVE,NONE
a_002,전투 도끼,IRON,ARTISAN,WEAPON,SILVER,UNCOMMON,DWARF_MINE,ACTIVE,NONE
a_003,사냥꾼의 활,WOOD,ARTISAN,WEAPON,SILVER,COMMON,ELF_FOREST,ACTIVE,MUST_BE_ARTISAN
a_004,마법사의 지팡이,GOLD,ROYAL,WEAPON,BLUE,RARE,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_005,암살자의 단검,SILVER,CURSE,WEAPON,PURPLE,RARE,UNKNOWN,CORRUPTED,MUST_HAVE_CURSE
a_006,기사단 투구,IRON,ROYAL,ARMOR,BLUE,RARE,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_007,기사단 흉갑,IRON,ROYAL,ARMOR,BLUE,LEGENDARY,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_008,이교도의 후드,LEATHER,CURSE,ARMOR,PURPLE,UNCOMMON,UNKNOWN,CORRUPTED,MUST_HAVE_CURSE
a_009,성기사의 방패,SILVER,ROYAL,ARMOR,BLUE,RARE,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_010,가죽 장화,LEATHER,ARTISAN,ARMOR,BLACK,COMMON,ELF_FOREST,ACTIVE,NONE
a_011,사파이어 반지,GOLD,ROYAL,ACCESSORY,BLUE,RARE,ROYAL_CAPITAL,ACTIVE,MUST_BE_ROYAL
a_012,자수정 목걸이,GOLD,CURSE,ACCESSORY,PURPLE,EPIC,UNKNOWN,CORRUPTED,MUST_HAVE_CURSE
a_013,튼튼한 가죽 벨트,LEATHER,NONE,ACCESSORY,BLACK,COMMON,UNKNOWN,ACTIVE,NONE
a_014,작업용 장갑,LEATHER,NONE,ARMOR,BLACK,COMMON,ELF_FOREST,ACTIVE,NONE
a_015,숲의 망토,LEATHER,ARTISAN,ARMOR,GREEN,RARE,ELF_FOREST,ACTIVE,MUST_BE_ARTISAN
a_016,체력 회복 물약,GLASS,NONE,POTION,RED,COMMON,ROYAL_CAPITAL,ACTIVE,MUST_BE_ACTIVE
a_017,마나 회복 물약,GLASS,NONE,POTION,BLUE,COMMON,ROYAL_CAPITAL,ACTIVE,MUST_BE_ACTIVE
a_018,해독 물약,GLASS,ARTISAN,POTION,GREEN,COMMON,ELF_FOREST,ACTIVE,MUST_BE_ACTIVE
a_019,마법 주문서,LEATHER,NONE,MISC,RED,UNCOMMON,ROYAL_CAPITAL,ACTIVE,MUST_BE_ACTIVE
a_020,마력 결정,STONE,NONE,MISC,BLUE,EPIC,DWARF_MINE,ACTIVE,MUST_BE_ACTIVE
a_021,모험가의 배낭,LEATHER,NONE,TOOL,BLACK,COMMON,UNKNOWN,ACTIVE,NONE
a_022,돈주머니,LEATHER,NONE,MISC,GOLD,COMMON,ROYAL_CAPITAL,ACTIVE,NONE
a_023,나무 보물상자,WOOD,NONE,MISC,GOLD,RARE,UNKNOWN,ACTIVE,NONE
a_024,철제 열쇠,IRON,NONE,TOOL,SILVER,UNCOMMON,UNKNOWN,ACTIVE,NONE
